,City,Country,Humidity,Latitude,Longitude,Max Temp,Min Temp,Wind Speed,Clouds
0,chuy,UY,85.0,-33.69,-53.46,24.89,24.89,5.04,64.0
1,kruisfontein,ZA,86.0,-34.0,24.73,17.39,17.39,5.39,0.0
2,carnarvon,ZA,65.0,-30.97,22.13,13.76,13.76,4.69,0.0
3,atuona,PF,100.0,-9.8,-139.03,25.44,25.44,7.29,20.0
4,bredasdorp,ZA,73.0,-34.53,20.04,22.0,22.0,5.1,0.0
5,geraldton,CA,61.0,49.72,-86.95,-30.0,-30.0,2.6,40.0
6,vallenar,CL,91.0,-28.58,-70.76,17.84,17.84,0.64,0.0
7,maragogi,BR,96.0,-9.01,-35.22,25.04,25.04,2.99,80.0
8,cherskiy,RU,38.0,68.75,161.3,-31.82,-31.82,1.14,76.0
9,tiznit,MA,97.0,29.7,-9.73,9.84,9.84,2.24,0.0
10,dikson,RU,80.0,73.51,80.55,-22.27,-22.27,10.79,36.0
11,sholokhove,UA,87.0,47.69,34.03,1.94,1.94,1.14,88.0
12,thompson,CA,73.0,55.74,-97.86,-34.0,-34.0,1.84,40.0
13,victoria,BN,94.0,5.28,115.24,26.0,25.0,1.5,75.0
14,borogontsy,RU,0.0,62.67,131.17,-36.67,-36.67,1.64,20.0
15,nguiu,NZ,75.0,-46.19,168.86,22.79,22.79,2.59,24.0
16,mataura,AR,50.0,-54.81,-68.31,12.0,12.0,7.2,90.0
17,saleaula,CA,72.0,63.75,-68.52,-8.0,-8.0,5.1,75.0
18,ushuaia,CA,79.0,47.58,-53.28,-3.0,-3.0,3.1,5.0
19,iqaluit,AR,40.0,-46.43,-67.52,18.59,18.59,5.84,0.0
20,bay roberts,CA,91.0,54.27,-110.74,0.0,0.0,2.6,90.0
21,kuche,US,38.0,34.64,-120.46,20.0,18.3,2.6,1.0
22,mar del plata,RU,72.0,56.84,95.22,-12.12,-12.12,3.39,36.0
23,bonnyville,RU,47.0,68.06,166.44,-34.47,-34.47,1.39,68.0
24,lompoc,PT,93.0,38.73,-27.07,14.0,14.0,6.34,40.0
25,dzerzhinskoye,US,92.0,64.84,-147.72,-11.7,-15.0,1.79,1.0
26,bilibino,RU,0.0,70.62,147.9,-37.77,-37.77,1.39,44.0
27,praia da vitoria,AU,74.0,-35.12,139.28,22.69,22.69,5.64,0.0
28,fairbanks,GY,88.0,6.8,-58.16,25.0,25.0,3.1,40.0
29,chokurdakh,US,46.0,31.31,-92.44,13.3,9.2,1.44,90.0
30,murray bridge,BY,84.0,53.59,25.82,-10.09,-10.09,1.39,76.0
31,georgetown,PH,82.0,12.17,124.59,26.19,26.19,8.39,32.0
32,alexandria,RU,43.0,68.54,146.19,-33.02,-33.02,0.69,68.0
33,navahrudak,AU,28.0,-42.88,147.33,23.0,23.0,10.3,0.0
34,osmena,PY,69.0,-26.98,-56.83,29.24,29.24,2.14,20.0
35,belaya gora,NA,91.0,-26.65,15.16,14.39,14.39,5.04,12.0
36,hobart,GF,88.0,4.94,-52.33,24.0,24.0,1.0,75.0
37,san patricio,AU,28.0,-20.73,139.49,35.0,35.0,5.7,0.0
38,luderitz,NE,45.0,18.69,12.92,8.41,8.41,5.04,0.0
39,cayenne,RU,29.0,63.86,57.31,-28.69,-28.69,1.19,8.0
40,mount isa,CD,94.0,-2.95,25.92,22.39,22.39,0.54,92.0
41,bilma,RU,100.0,50.68,156.12,-2.77,-2.77,2.89,76.0
42,vuktyl,ZA,100.0,-28.77,32.06,18.64,18.64,1.24,92.0
43,kindu,AU,66.0,-20.31,118.58,31.0,31.0,8.7,76.0
44,severo-kurilsk,AU,83.0,-34.72,135.86,20.76,20.76,5.49,56.0
45,richards bay,AU,28.0,-42.78,147.06,23.0,23.0,10.3,0.0
46,port hedland,NA,56.0,-18.06,13.84,14.99,14.99,1.64,0.0
47,port lincoln,MU,83.0,-20.41,57.7,26.0,26.0,1.0,20.0
48,new norfolk,EC,100.0,-0.74,-90.35,25.16,25.16,3.89,0.0
49,opuwo,NO,58.0,62.91,6.91,0.0,-2.0,8.7,8.0
50,mahebourg,US,42.0,20.89,-156.47,26.1,21.1,8.2,40.0
51,puerto ayora,CL,71.0,-53.16,-70.91,11.0,11.0,5.7,40.0
52,bud,SN,31.0,14.69,-16.54,25.0,25.0,3.6,56.0
53,kahului,AU,70.0,-13.85,136.42,30.0,30.0,3.6,75.0
54,punta arenas,PH,100.0,6.37,126.17,25.79,25.79,4.39,92.0
55,gat,CL,76.0,-42.48,-73.76,10.0,10.0,1.0,0.0
56,alyangula,PF,100.0,-16.48,-151.75,26.81,26.81,5.24,32.0
57,mys shmidta,BR,96.0,-8.9,-35.15,25.04,25.04,2.99,80.0
58,pundaguitan,IT,87.0,39.93,18.16,8.0,4.0,4.1,20.0
59,castro,AU,85.0,-33.64,115.35,22.49,22.49,3.04,0.0
60,faanui,SR,88.0,5.06,-54.98,25.0,25.0,3.6,40.0
61,sao jose da coroa grande,RU,87.0,67.55,63.78,-28.82,-28.82,1.84,36.0
62,ugento,RU,76.0,66.83,70.83,-21.57,-21.57,7.39,68.0
63,busselton,ET,84.0,9.35,42.8,4.76,4.76,0.99,0.0
64,brokopondo,PH,69.0,14.29,120.72,25.0,25.0,4.1,75.0
65,komsomolskiy,AR,83.0,-29.41,-66.86,24.94,24.94,1.19,20.0
66,yar-sale,IN,78.0,17.65,83.27,23.0,23.0,2.1,20.0
67,jijiga,US,92.0,64.86,-147.8,-4.4,-15.0,1.79,1.0
68,ternate,FO,64.0,62.23,-6.59,1.0,1.0,14.4,68.0
69,la rioja,KZ,100.0,44.51,50.26,1.51,1.51,5.74,88.0
70,kamenskoye,CA,70.0,68.22,-135.01,-21.0,-21.0,2.6,90.0
71,yarada,ZA,73.0,-33.93,18.42,21.0,21.0,8.7,0.0
72,college,PG,99.0,-2.57,150.8,29.59,29.59,4.59,80.0
73,klaksvik,NO,100.0,70.86,29.09,-18.74,-18.74,3.14,8.0
74,fort-shevchenko,RU,82.0,68.05,39.51,-25.19,-25.19,5.14,12.0
75,bur gabo,GL,62.0,65.61,-37.64,-5.0,-5.0,7.7,88.0
76,gorno-chuyskiy,PF,98.0,-23.12,-134.97,27.31,27.31,4.94,8.0
77,aklavik,IN,93.0,15.34,74.49,15.0,15.0,2.59,40.0
78,cape town,DM,92.0,15.25,-61.38,25.56,25.56,9.29,8.0
79,kavieng,PH,52.0,17.54,120.52,25.51,25.51,3.59,0.0
80,berlevag,CN,71.0,42.84,93.51,-6.02,-6.02,2.44,68.0
81,ostrovnoy,GB,93.0,50.71,-1.5,7.0,7.0,4.6,48.0
82,tasiilaq,RU,71.0,52.2,117.55,-14.97,-14.97,1.99,44.0
83,ebano,CN,92.0,32.99,105.33,2.59,2.59,1.09,68.0
84,rikitea,MY,94.0,3.77,100.99,24.0,24.0,1.0,75.0
85,vaini,US,48.0,22.08,-159.32,25.0,23.3,11.8,1.0
86,pointe michel,US,60.0,31.46,-100.44,11.7,11.7,1.5,20.0
87,san quintin,US,60.0,38.95,-119.77,10.0,1.0,2.1,1.0
